ID,Energy_Source,Carbon_Footprint,Smart_Home_Device,Electric_Vehicle,Household_Size,Annual_Water_Usage,Renewable_Investment,Satisfaction_Score
1091,Nuclear,9.27,Assistant,Yes,4,131.23,Medium,2.67
1092,Nuclear,3.85,Thermostat,Yes,3,156.91,None,9.91
1093,Wind,14.08,Assistant,No,7,142.18,Medium,4.74
1094,Nuclear,5.88,Lighting,No,1,70.97,None,2.01
1095,Solar,18.13,Thermostat,No,2,65.78,None,8.02
1096,Hydro,3.29,Security,No,4,74.06,Low,2.14
1097,Nuclear,10.24,Lighting,No,5,71.11,Medium,4.66
1098,Hydro,6.0,Thermostat,No,7,86.51,High,6.51
1099,Wind,6.87,None,No,1,88.99,Low,1.67
1100,Fossil,19.23,Security,Yes,3,103.13,Low,6.1
1101,Nuclear,12.47,Lighting,No,4,128.17,Low,5.56
1102,Fossil,3.39,None,No,6,40.95,Medium,1.44
1103,Fossil,13.17,Security,No,4,108.87,Low,8.81
1104,Wind,11.04,Thermostat,Yes,2,100.17,None,8.51
1105,Hydro,7.61,Thermostat,No,6,157.2,Medium,5.93
1106,Solar,11.54,None,Yes,5,107.06,Medium,2.96
1107,Fossil,1.7,None,No,2,101.25,None,5.23
1108,Solar,16.87,Lighting,No,3,48.38,None,4.2
1109,Hydro,8.9,Lighting,No,2,64.55,Medium,6.88
1110,Nuclear,7.39,Lighting,Yes,1,49.41,Medium,7.53
1111,Hydro,11.43,Lighting,No,3,91.61,None,5.95
1112,Fossil,14.5,None,No,7,86.86,None,9.68
1113,Solar,-2.81,Thermostat,Yes,5,59.61,None,3.02
1114,Wind,9.66,Assistant,Yes,2,93.32,None,3.89
1115,Hydro,10.12,Security,Yes,1,112.1,Medium,6.71
1116,Nuclear,15.07,Lighting,Yes,3,108.25,Low,9.49
1117,Nuclear,5.23,Security,Yes,4,108.62,None,5.69
1118,Nuclear,14.23,Thermostat,Yes,7,99.18,None,6.12
1119,Solar,9.68,None,No,2,49.59,Low,6.53
1120,Solar,6.81,Lighting,Yes,1,73.4,Low,5.94
1121,Nuclear,16.99,Assistant,No,5,92.58,Medium,4.55
1122,Nuclear,11.87,Thermostat,Yes,4,66.23,Medium,9.48
1123,Wind,13.84,None,Yes,3,128.03,High,2.24
1124,Solar,11.3,Lighting,No,4,82.58,High,6.7
1125,Nuclear,18.53,Lighting,No,5,95.74,Low,8.98
1126,Nuclear,10.81,Lighting,Yes,4,102.37,Low,4.92
1127,Fossil,10.43,Thermostat,No,5,67.75,None,3.92
1128,Fossil,5.93,None,Yes,3,166.4,High,1.69
1129,Solar,14.72,Thermostat,Yes,6,63.98,None,2.1
1130,Hydro,5.29,Security,Yes,1,108.08,Medium,9.75
1131,Wind,12.9,Security,No,6,92.53,Low,6.71
1132,Fossil,10.66,Assistant,No,3,73.71,Low,9.28
1133,Hydro,8.58,Assistant,Yes,2,149.9,None,6.79
1134,Wind,10.67,None,No,5,68.99,Medium,3.98
1135,Fossil,12.94,Security,No,6,126.16,None,2.41
1136,Hydro,8.41,Thermostat,Yes,1,95.57,Low,9.57
1137,Solar,9.94,Security,No,3,63.29,Medium,7.03
1138,Wind,10.43,Lighting,Yes,2,116.95,High,6.03
1139,Solar,11.66,Security,No,6,106.59,None,7.47
1140,Solar,8.88,Thermostat,Yes,6,101.47,Low,3.44
1141,Fossil,10.12,Lighting,No,7,69.67,Low,6.13
1142,Fossil,13.09,None,Yes,3,73.9,High,5.19
1143,Nuclear,11.79,None,Yes,7,105.93,None,3.54
1144,Hydro,14.54,Security,Yes,4,110.26,High,6.36
1145,Solar,10.35,Assistant,No,7,112.11,None,6.67
1146,Wind,12.2,Thermostat,No,4,99.67,Medium,4.09
1147,Nuclear,9.02,Thermostat,Yes,4,103.91,Medium,1.28
1148,Solar,7.65,Assistant,No,3,41.94,Medium,3.17
1149,Hydro,-0.87,Thermostat,No,7,89.76,High,3.04
1150,Hydro,8.25,Security,No,4,146.39,Medium,8.35
1151,Nuclear,10.76,Lighting,Yes,7,74.63,Low,7.22
1152,Solar,11.12,None,No,4,93.96,None,8.67
1153,Hydro,11.43,Security,Yes,4,116.63,Medium,4.82
1154,Hydro,13.12,Security,Yes,2,89.35,Low,4.58
1155,Wind,10.56,Lighting,Yes,2,128.8,None,9.53
1156,Fossil,11.7,Assistant,Yes,3,117.54,High,4.03
1157,Wind,2.72,Security,Yes,5,71.2,None,3.82
1158,Solar,11.87,Security,No,4,104.28,Medium,1.87
1159,Solar,20.67,Security,Yes,3,123.73,Low,7.51
1160,Fossil,5.37,Thermostat,Yes,4,93.78,None,1.5
1161,Nuclear,11.97,Assistant,No,7,117.25,Medium,8.08
1162,Fossil,-0.05,Security,No,6,61.45,Medium,5.95
1163,Solar,9.82,Lighting,Yes,6,136.26,Low,5.36
1164,Wind,12.82,Assistant,Yes,6,112.08,Medium,2.53
1165,Solar,8.21,Security,Yes,1,72.37,High,2.93
1166,Nuclear,10.65,None,Yes,5,140.29,Medium,9.98
1167,Fossil,8.51,Lighting,No,1,98.51,High,6.34
1168,Solar,6.45,Security,No,3,133.76,None,8.38
1169,Nuclear,16.52,Lighting,No,3,57.9,Low,4.06
1170,Solar,12.01,Lighting,Yes,3,102.56,Low,5.71
1171,Fossil,7.42,None,No,6,116.09,Medium,2.84
1172,Fossil,9.54,Thermostat,Yes,5,86.06,High,8.01
1173,Fossil,5.61,Assistant,Yes,3,92.42,Medium,8.15
1174,Hydro,11.74,Assistant,Yes,3,147.14,Medium,9.54
1175,Wind,4.65,Lighting,No,6,90.77,Medium,9.26
1176,Nuclear,3.74,None,Yes,2,123.38,None,3.17
1177,Hydro,13.12,None,No,3,152.49,Low,3.54
1178,Fossil,12.62,Thermostat,No,5,103.11,Low,3.97
1179,Hydro,1.87,Thermostat,No,2,112.47,None,3.97
1180,Wind,3.58,Assistant,No,7,76.31,High,7.48
1181,Nuclear,4.53,None,Yes,2,146.12,Low,8.63
1182,Hydro,15.33,Security,No,4,67.22,Low,6.37
1183,Fossil,17.12,Security,No,6,88.34,None,8.2
1184,Hydro,10.86,Assistant,Yes,4,123.59,Medium,9.7
1185,Hydro,7.65,Assistant,No,6,-13.15,Medium,9.46
1186,Solar,11.83,Security,No,4,110.68,None,7.57
1187,Solar,18.89,Security,Yes,7,107.97,High,9.16
1188,Solar,5.23,None,Yes,6,99.61,None,9.89
1189,Solar,15.18,Thermostat,Yes,5,108.07,Low,3.72
1190,Nuclear,-1.91,Assistant,Yes,6,90.35,None,2.36
1191,Solar,8.04,None,No,6,75.41,None,5.43
1192,Nuclear,7.07,Lighting,Yes,2,87.82,Medium,9.7
1193,Hydro,8.92,Lighting,Yes,1,102.17,Low,9.74
1194,Wind,16.71,Thermostat,No,6,119.38,High,2.27
1195,Solar,13.03,Assistant,Yes,3,82.81,Medium,4.85
1196,Nuclear,6.86,Lighting,Yes,4,146.0,None,5.37
1197,Solar,11.71,None,Yes,1,32.07,Low,1.6
1198,Solar,16.97,Assistant,No,5,78.55,None,9.37
1199,Solar,8.07,Lighting,No,6,122.03,None,6.07
1200,Nuclear,7.39,Lighting,No,3,100.82,Low,2.35
1201,Wind,5.83,None,Yes,3,112.66,None,5.12
1202,Hydro,19.39,Assistant,No,6,44.79,Low,5.42
1203,Wind,12.5,Security,Yes,4,84.73,Low,3.46
1204,Nuclear,14.6,Thermostat,Yes,2,117.95,None,1.66
1205,Solar,17.35,None,No,1,120.1,Low,4.38
1206,Nuclear,3.36,Assistant,Yes,7,112.5,High,6.6
1207,Hydro,0.62,None,No,7,83.34,High,5.35
1208,Nuclear,6.73,None,Yes,5,155.06,Low,1.59
1209,Fossil,7.78,Lighting,No,5,79.8,None,2.66
1210,Fossil,11.57,Lighting,Yes,4,109.96,None,4.67
1211,Hydro,8.82,Thermostat,Yes,1,68.47,Low,8.34
1212,Fossil,4.22,Assistant,Yes,1,29.74,Medium,9.66
1213,Hydro,6.34,Security,No,4,66.89,High,4.42
1214,Nuclear,5.95,Security,No,4,107.5,Low,4.1
1215,Nuclear,10.98,Thermostat,Yes,4,136.97,High,3.19
1216,Wind,19.46,Lighting,Yes,4,127.42,Medium,6.08
1217,Nuclear,10.51,Assistant,Yes,6,123.86,None,8.83
1218,Fossil,15.36,Security,Yes,7,92.89,Medium,1.63
1219,Nuclear,4.44,Lighting,Yes,6,75.28,High,8.21
1220,Nuclear,5.75,None,No,2,127.89,None,5.19
1221,Solar,15.01,Thermostat,Yes,2,103.37,Medium,2.62
1222,Solar,0.65,Assistant,No,4,85.15,None,3.25
1223,Hydro,12.46,Assistant,No,4,164.27,Low,4.92
1224,Nuclear,3.5,Lighting,No,6,110.81,None,7.4
1225,Solar,6.22,Thermostat,Yes,5,63.33,Medium,3.71
1226,Nuclear,3.97,None,Yes,2,84.48,Low,7.58
1227,Nuclear,3.49,None,No,1,107.17,Low,2.8
1228,Solar,21.49,Thermostat,No,7,66.05,Low,2.7
1229,Wind,8.08,Security,No,4,73.39,None,9.41
1230,Hydro,7.96,Security,Yes,2,40.91,High,3.08
1231,Solar,7.46,None,No,6,74.16,None,9.91
1232,Hydro,15.12,None,No,7,85.66,High,4.04
1233,Fossil,9.88,None,Yes,5,105.11,High,6.09
1234,Solar,6.48,None,No,6,101.18,Medium,3.93
1235,Nuclear,6.62,Lighting,No,7,74.46,High,1.9
1236,Hydro,7.32,Security,No,7,117.83,Low,9.37
1237,Fossil,12.21,Thermostat,No,6,123.28,Low,5.71
1238,Hydro,8.88,Security,No,7,92.82,Low,8.25
1239,Hydro,17.93,Assistant,No,1,117.64,Medium,7.33
1240,Fossil,11.86,Security,Yes,2,89.42,High,8.21
1241,Wind,5.83,Security,Yes,4,71.68,Medium,7.2
1242,Nuclear,8.3,None,Yes,2,143.92,High,6.93
1243,Fossil,12.18,None,Yes,1,124.88,Medium,7.66
1244,Wind,12.06,None,No,5,107.97,Low,4.83
1245,Wind,12.52,Security,Yes,7,106.17,High,2.53
1246,Solar,3.6,Thermostat,Yes,5,145.01,Medium,1.86
1247,Wind,8.46,None,No,2,115.24,Low,6.39
1248,Wind,11.05,Security,No,3,76.88,None,2.94
1249,Hydro,5.06,None,Yes,6,145.58,Medium,3.61
1250,Nuclear,12.94,Lighting,Yes,6,128.04,Low,7.84
1251,Fossil,7.79,Lighting,No,6,64.51,High,8.76
1252,Solar,1.32,Thermostat,No,1,76.73,None,7.15
1253,Fossil,17.82,Security,Yes,2,34.76,High,6.73
1254,Fossil,15.75,None,Yes,1,96.99,Low,7.63
1255,Hydro,10.2,Lighting,No,4,72.89,None,9.68
1256,Wind,14.07,None,No,4,134.16,None,3.17
1257,Fossil,18.49,Assistant,No,6,98.36,None,3.61
1258,Solar,4.78,Lighting,No,7,122.87,Low,9.85
1259,Hydro,7.91,None,Yes,1,89.19,High,4.12
1260,Wind,11.81,None,No,6,65.76,Medium,5.96
1261,Wind,2.2,Thermostat,Yes,6,34.68,None,1.36
1262,Solar,8.13,Thermostat,Yes,3,88.25,None,4.41
1263,Hydro,11.01,None,Yes,6,129.34,None,9.92
1264,Wind,13.14,None,No,2,100.75,Low,2.36
1265,Nuclear,14.4,Thermostat,Yes,3,30.6,Medium,6.81
1266,Nuclear,12.67,Assistant,Yes,5,62.31,Low,8.43
1267,Fossil,10.75,Security,Yes,4,117.93,High,7.58
1268,Wind,6.09,Thermostat,No,3,39.29,Low,9.92
1269,Wind,11.49,None,No,1,113.45,High,5.4
1270,Fossil,13.67,Assistant,Yes,3,112.48,Medium,1.67
1271,Fossil,6.47,Security,Yes,3,71.65,Low,5.88
1272,Fossil,10.18,Thermostat,No,3,146.4,Low,2.35
1273,Wind,11.89,Security,Yes,4,113.45,High,9.87
1274,Nuclear,7.19,Assistant,Yes,7,80.16,High,9.99
1275,Solar,10.17,Thermostat,No,2,85.81,None,9.53
1276,Nuclear,13.82,Thermostat,Yes,7,86.65,High,6.79
1277,Nuclear,4.17,Thermostat,Yes,4,40.78,None,7.61
1278,Solar,7.89,None,No,4,121.13,None,7.55
1279,Hydro,7.91,Security,Yes,1,99.81,Low,5.42
1280,Solar,1.3,Security,No,3,86.71,High,3.3
1281,Nuclear,16.29,Security,Yes,5,122.53,High,8.11
1282,Hydro,2.61,Security,No,1,81.84,None,9.82
1283,Hydro,11.04,Assistant,No,5,77.39,None,1.5
1284,Solar,6.61,Security,No,5,107.34,None,2.19
1285,Fossil,20.05,Security,Yes,3,57.58,None,1.61
1286,Solar,11.25,Lighting,Yes,1,80.45,Medium,2.39
1287,Fossil,2.35,Thermostat,Yes,3,134.98,High,7.31
1288,Fossil,8.47,Lighting,No,2,45.35,Low,7.17
1289,Wind,3.4,Thermostat,No,3,81.58,Medium,8.59
1290,Hydro,19.78,Lighting,Yes,5,136.38,Medium,8.86
1291,Fossil,13.43,Lighting,Yes,6,99.36,High,7.91
1292,Wind,11.02,Lighting,No,6,79.27,High,8.91
1293,Wind,10.62,Security,Yes,3,91.72,Low,7.09
1294,Hydro,9.97,Security,No,6,90.73,Low,4.72
1295,Fossil,12.45,Security,No,7,102.98,None,2.64
1296,Solar,-0.97,Lighting,Yes,7,111.7,Low,1.58
1297,Hydro,12.27,Lighting,No,6,120.22,High,3.52
1298,Solar,3.12,Lighting,Yes,3,92.55,Medium,3.85
1299,Nuclear,6.43,Lighting,Yes,7,133.04,Medium,8.37
1300,Hydro,12.92,Assistant,No,2,85.08,Medium,5.66
1301,Fossil,7.87,Security,Yes,3,114.92,High,8.9
1302,Hydro,6.14,Thermostat,Yes,7,103.73,High,4.92
1303,Solar,9.68,None,Yes,6,126.92,None,9.45
1304,Fossil,-0.37,Thermostat,No,7,72.47,High,1.73
1305,Nuclear,12.44,None,No,5,124.82,None,3.73
1306,Nuclear,13.85,Assistant,No,5,86.38,Low,8.8
1307,Wind,-1.07,Thermostat,No,5,93.78,Low,4.98
1308,Nuclear,9.38,Lighting,Yes,4,115.48,Low,1.89
1309,Fossil,6.29,None,No,4,129.54,None,4.75
1310,Hydro,15.82,Security,No,5,131.73,None,6.54
1311,Nuclear,13.76,Assistant,Yes,4,114.96,Medium,9.76
1312,Nuclear,9.04,Lighting,Yes,6,163.62,High,1.46
1313,Fossil,6.77,None,No,3,93.22,High,8.16
1314,Fossil,7.85,Thermostat,Yes,2,47.28,Medium,8.02
1315,Solar,6.39,Thermostat,No,4,80.16,None,8.25
1316,Solar,4.95,Security,No,5,83.65,High,7.49
1317,Solar,7.42,Lighting,No,6,88.39,Low,6.5
1318,Wind,7.66,Lighting,No,4,95.66,Medium,6.27
1319,Solar,13.04,None,No,3,94.28,Medium,8.96
1320,Wind,11.48,None,Yes,5,96.44,Medium,9.37
1321,Wind,13.91,Thermostat,Yes,4,152.19,Low,3.98
1322,Solar,16.1,Thermostat,Yes,5,182.63,None,5.36
1323,Fossil,6.32,Security,Yes,5,110.92,Medium,5.25
1324,Wind,7.12,Assistant,No,3,80.35,Medium,7.21
1325,Nuclear,10.01,Assistant,No,2,109.07,None,5.01
1326,Fossil,7.62,Lighting,Yes,4,92.62,None,2.25
1327,Wind,3.84,Lighting,No,5,101.6,High,2.67
1328,Fossil,20.54,Assistant,Yes,7,118.16,Medium,1.57
1329,Hydro,11.76,Security,Yes,1,60.98,High,5.0
1330,Nuclear,5.05,Security,No,1,91.82,Low,7.95
1331,Solar,12.11,Thermostat,Yes,2,74.6,Low,9.83
1332,Solar,8.06,Lighting,No,1,129.3,High,3.86
1333,Nuclear,6.3,Lighting,No,3,81.86,High,4.43
1334,Nuclear,13.13,Security,Yes,5,108.51,None,4.33
1335,Nuclear,15.96,Lighting,No,4,106.36,Medium,2.22
1336,Nuclear,12.96,None,No,3,177.17,Medium,1.7
1337,Solar,14.69,None,No,3,96.25,None,1.95
1338,Nuclear,1.76,None,Yes,3,52.37,High,2.42
1339,Solar,14.68,Assistant,No,5,112.4,High,5.86
1340,Hydro,9.61,Security,Yes,5,141.72,None,3.46
1341,Fossil,6.34,Lighting,Yes,2,110.83,Low,1.37
1342,Nuclear,12.07,Lighting,Yes,5,55.17,Low,2.14
1343,Nuclear,6.91,Security,Yes,7,127.29,High,2.56
1344,Solar,7.05,Security,No,5,76.31,None,7.93
1345,Hydro,8.61,Security,No,7,99.61,Low,7.91
1346,Fossil,9.26,None,Yes,1,114.36,Medium,8.15
1347,Nuclear,3.62,Security,Yes,4,57.72,High,3.93
1348,Solar,9.39,Assistant,No,2,76.98,Medium,9.48
1349,Wind,16.4,None,Yes,3,113.88,None,8.96
1350,Wind,6.69,Lighting,Yes,4,93.62,None,6.84
1351,Nuclear,13.31,None,Yes,7,83.24,Medium,8.08
1352,Nuclear,12.66,None,Yes,4,97.57,High,2.29
1353,Wind,7.72,Thermostat,No,4,81.01,Medium,5.71
1354,Solar,7.49,None,Yes,5,55.0,None,6.5
1355,Nuclear,19.12,Security,Yes,5,104.71,Medium,3.11
1356,Solar,13.46,Thermostat,No,3,113.83,High,6.45
1357,Solar,11.51,Security,Yes,6,115.65,None,7.17
1358,Fossil,10.91,Lighting,No,6,132.86,Low,7.71
1359,Wind,11.25,None,No,1,81.97,None,7.03
1360,Hydro,3.75,Lighting,No,7,116.57,Low,8.06
1361,Wind,9.78,Assistant,Yes,1,112.97,High,9.42
1362,Wind,9.39,Assistant,No,2,118.92,Low,2.73
1363,Wind,12.65,None,No,5,161.59,Low,3.41
1364,Solar,2.28,Security,No,7,84.35,High,4.06
1365,Wind,7.99,Thermostat,Yes,6,55.31,High,4.74
1366,Fossil,9.67,Security,No,1,118.75,None,3.96
1367,Solar,9.59,None,Yes,7,53.16,Low,2.05
1368,Hydro,2.91,Assistant,No,1,99.32,None,8.15
1369,Nuclear,3.16,Lighting,Yes,7,110.96,None,8.52
1370,Hydro,9.56,Security,Yes,4,94.23,Medium,1.46
1371,Nuclear,18.61,None,No,1,112.07,Medium,5.34
1372,Hydro,8.0,Thermostat,Yes,1,90.28,High,9.5
1373,Fossil,10.22,Assistant,Yes,4,65.77,Medium,4.34
1374,Solar,13.47,None,Yes,3,108.86,None,2.24
1375,Hydro,9.92,Assistant,Yes,5,9.42,High,5.89
1376,Solar,8.62,None,Yes,5,85.95,Medium,2.82
1377,Wind,11.52,None,No,6,55.68,Medium,2.96
1378,Hydro,8.75,None,Yes,3,72.87,Low,3.13
1379,Nuclear,8.34,None,Yes,1,131.36,High,3.79
1380,Fossil,11.37,Lighting,No,3,66.75,None,8.05
1381,Nuclear,3.69,Security,Yes,5,68.67,High,1.36
1382,Hydro,8.84,Thermostat,Yes,3,165.13,Low,1.23
1383,Wind,10.09,None,No,1,85.5,Low,9.5
1384,Fossil,5.86,Lighting,Yes,2,79.67,Low,3.65
1385,Fossil,15.48,Thermostat,Yes,7,146.79,High,9.12
1386,Hydro,11.23,Assistant,Yes,3,91.25,High,6.7
1387,Nuclear,17.51,Lighting,No,4,100.66,Low,8.83
1388,Wind,2.86,Thermostat,No,4,150.64,None,4.67
1389,Solar,12.92,Lighting,Yes,7,127.67,High,3.06
1390,Fossil,12.62,None,No,2,115.0,High,4.48
1391,Hydro,18.92,Security,Yes,6,134.94,None,4.12
1392,Wind,11.79,Assistant,No,2,18.41,Low,7.35
1393,Fossil,3.78,Assistant,Yes,2,52.45,Medium,4.79
1394,Solar,7.02,None,No,3,88.54,Medium,5.6
1395,Hydro,18.89,Lighting,No,4,135.13,Medium,1.97
1396,Nuclear,5.41,Thermostat,No,6,117.39,Medium,1.39
1397,Hydro,17.84,Security,No,7,102.05,None,2.61
1398,Solar,18.75,Lighting,No,3,134.77,Medium,6.57
1399,Nuclear,18.92,Lighting,No,4,149.73,Medium,3.53
1400,Fossil,6.36,Security,Yes,6,77.01,None,2.76
1401,Solar,12.19,Thermostat,No,3,61.55,High,2.76
1402,Wind,3.8,None,No,3,104.86,High,6.86
1403,Wind,10.06,Lighting,Yes,5,58.6,Low,1.05
1404,Wind,10.03,None,Yes,2,133.21,High,8.38
1405,Hydro,2.09,Thermostat,No,6,129.57,Low,3.37
1406,Solar,12.27,Assistant,Yes,2,71.22,None,7.79
1407,Fossil,4.16,Assistant,Yes,2,75.7,Medium,3.75
1408,Hydro,11.13,Security,Yes,7,142.51,Medium,8.44
1409,Solar,7.48,None,Yes,3,148.65,Low,6.83
1410,Fossil,7.67,Assistant,No,1,176.44,High,3.17
1411,Fossil,10.46,None,No,4,72.14,None,5.29
1412,Fossil,22.27,Thermostat,No,5,73.18,None,4.82
1413,Fossil,13.15,Thermostat,Yes,4,77.4,Low,6.37
1414,Nuclear,18.27,Assistant,No,1,150.05,Low,5.61
1415,Solar,11.5,None,No,2,109.3,High,9.21
1416,Wind,11.55,None,No,3,67.17,None,1.75
1417,Solar,6.68,None,No,1,99.69,None,5.38
1418,Fossil,2.24,Thermostat,Yes,5,81.09,None,4.36
1419,Wind,7.98,None,Yes,5,192.9,High,9.39
1420,Hydro,1.97,Security,No,3,133.31,Low,1.65
1421,Wind,23.91,Lighting,No,5,75.72,Medium,7.04
1422,Hydro,4.71,Lighting,Yes,6,37.43,None,3.21
1423,Solar,9.3,Security,Yes,5,138.4,Low,9.12
1424,Nuclear,9.4,None,Yes,4,76.01,None,4.94
1425,Solar,10.51,Lighting,Yes,6,119.19,Medium,5.92
1426,Hydro,14.36,Thermostat,No,6,77.16,High,1.12
1427,Fossil,17.42,Security,No,4,109.48,Medium,2.7
1428,Nuclear,7.52,Assistant,No,6,106.01,High,5.08
1429,Wind,15.16,Security,No,3,148.83,High,5.27
1430,Hydro,11.69,Thermostat,No,3,119.62,Medium,7.31
1431,Nuclear,21.99,Security,No,2,112.94,Medium,7.28
1432,Nuclear,10.61,None,Yes,4,125.16,High,7.2
1433,Hydro,13.0,Lighting,Yes,2,109.71,None,1.98
1434,Solar,6.3,Assistant,Yes,4,89.55,Low,8.1
1435,Solar,17.04,None,Yes,5,68.61,High,9.31
1436,Solar,9.66,Lighting,Yes,3,80.54,Low,7.97
1437,Solar,8.56,Thermostat,No,6,96.49,Medium,8.8
1438,Solar,10.29,Thermostat,No,5,91.59,Low,9.57
1439,Solar,13.8,None,Yes,3,89.25,Low,9.24
1440,Solar,6.3,Lighting,Yes,4,121.91,Low,5.5
1441,Solar,6.73,None,Yes,6,100.74,High,4.61
1442,Wind,15.62,None,Yes,7,58.53,Low,3.09
1443,Nuclear,16.93,Lighting,Yes,6,79.9,None,2.51
1444,Solar,11.25,Lighting,No,6,48.35,Low,9.9
1445,Nuclear,9.88,Thermostat,Yes,5,53.17,Low,9.81
1446,Fossil,13.79,Lighting,Yes,5,58.81,High,5.01
1447,Wind,16.39,Lighting,No,7,101.19,None,7.95
1448,Hydro,17.64,Thermostat,Yes,7,101.02,Low,4.35
1449,Hydro,13.09,None,Yes,5,99.36,None,3.09
1450,Wind,12.52,None,No,6,132.82,Medium,3.12
1451,Solar,8.6,Assistant,Yes,2,92.94,None,1.93
1452,Hydro,10.61,None,No,3,51.03,High,4.57
1453,Wind,6.58,Security,Yes,6,102.4,None,1.53
1454,Fossil,13.97,Lighting,No,3,71.33,Medium,1.31
1455,Fossil,9.82,Thermostat,No,5,129.67,Low,1.96
1456,Fossil,6.51,Thermostat,Yes,1,108.51,None,4.07
1457,Nuclear,0.74,None,No,3,86.82,Low,9.0
1458,Solar,11.27,Security,Yes,1,71.76,Low,5.41
1459,Fossil,-6.42,None,Yes,5,112.22,Low,1.29
1460,Wind,11.98,Lighting,Yes,1,71.45,Medium,8.82
1461,Solar,7.49,Security,Yes,7,141.5,Low,8.18
1462,Nuclear,13.25,Assistant,No,4,65.98,High,2.31
1463,Wind,4.36,Security,No,2,44.77,Low,1.01
1464,Solar,15.75,Security,No,4,116.43,None,1.33
1465,Fossil,10.95,Thermostat,Yes,6,117.32,Low,3.48
1466,Solar,3.88,Security,No,5,100.23,Low,5.86
1467,Nuclear,6.71,Thermostat,No,3,114.63,Medium,1.04
1468,Fossil,7.58,Lighting,Yes,2,121.91,None,6.38
1469,Wind,7.68,Thermostat,Yes,4,110.12,Low,4.05
1470,Nuclear,16.93,Lighting,Yes,1,94.65,High,2.72
1471,Wind,6.74,Lighting,Yes,4,115.41,None,8.01
1472,Nuclear,10.69,Security,No,6,117.59,None,6.78
1473,Nuclear,11.9,Assistant,No,4,113.12,Low,1.79
1474,Nuclear,10.57,Lighting,Yes,3,62.47,Low,6.74
1475,Wind,-2.05,Assistant,Yes,4,68.67,Low,8.51
1476,Fossil,14.44,Security,Yes,2,62.28,High,9.04
1477,Solar,18.28,Thermostat,No,2,125.93,Medium,1.22
1478,Wind,8.4,Thermostat,No,6,125.51,High,3.38
1479,Wind,3.01,Lighting,No,4,25.8,None,2.78
1480,Fossil,12.3,Lighting,Yes,4,130.48,Low,7.24
1481,Hydro,8.95,Thermostat,No,1,47.05,Medium,3.32
1482,Fossil,12.05,Lighting,No,4,68.42,High,4.38
1483,Hydro,5.33,None,No,5,128.72,None,9.23
1484,Hydro,13.05,Assistant,No,1,108.26,Low,6.41
1485,Hydro,9.89,Lighting,Yes,3,111.0,Medium,6.27
1486,Solar,14.06,Thermostat,Yes,6,89.17,High,6.53
1487,Nuclear,9.34,Security,Yes,5,126.93,None,8.42
1488,Fossil,7.04,Assistant,No,5,89.62,Low,4.82
1489,Hydro,10.45,Thermostat,Yes,6,57.9,Medium,6.19
1490,Solar,2.6,Security,Yes,1,109.94,Low,8.8
1491,Fossil,6.82,Thermostat,No,6,81.86,Medium,7.64
1492,Hydro,9.04,Lighting,Yes,3,138.11,Low,4.56
1493,Solar,-2.38,Lighting,Yes,3,131.32,None,9.45
1494,Fossil,7.34,Assistant,Yes,5,70.19,Low,6.79
1495,Fossil,12.62,Security,Yes,3,106.44,Medium,7.46
1496,Nuclear,6.5,Assistant,Yes,6,133.03,Low,5.78
1497,Wind,14.26,None,No,4,112.9,Low,1.53
1498,Solar,7.55,None,No,4,95.88,Low,1.44
1499,Nuclear,5.59,Thermostat,No,7,118.51,Low,6.23
1500,Fossil,3.26,None,Yes,5,53.45,Low,8.48
1501,Solar,9.84,None,Yes,4,161.94,High,6.37
1502,Hydro,16.49,None,No,4,127.59,None,8.7
1503,Fossil,8.27,Lighting,No,7,88.39,None,5.05
1504,Hydro,7.1,None,Yes,6,91.59,None,7.46
1505,Hydro,10.04,Thermostat,Yes,6,140.52,Medium,6.48
1506,Fossil,6.36,Thermostat,No,1,143.92,None,5.25
1507,Fossil,14.07,Thermostat,Yes,3,74.67,High,1.2
1508,Hydro,12.26,Lighting,No,2,103.35,Low,8.72
1509,Solar,11.39,Thermostat,No,6,111.57,Medium,9.41
1510,Solar,19.14,Lighting,Yes,4,65.27,High,4.51
1511,Hydro,7.4,None,Yes,6,101.94,None,9.01
1512,Solar,5.54,None,Yes,4,55.11,High,6.0
1513,Nuclear,11.34,Security,No,1,116.42,Low,8.3
1514,Nuclear,5.17,Security,No,6,89.35,None,2.46
1515,Nuclear,6.76,Thermostat,Yes,1,130.07,None,9.35
1516,Solar,11.46,Thermostat,Yes,2,116.34,Medium,4.51
1517,Solar,5.92,Thermostat,Yes,5,124.92,None,7.58
1518,Wind,3.13,Assistant,No,5,179.4,Low,1.4
1519,Wind,-1.92,Lighting,No,7,119.48,High,9.26
1520,Nuclear,4.4,None,Yes,1,101.79,Low,6.25
1521,Solar,5.91,Thermostat,Yes,5,110.79,High,9.49
1522,Nuclear,9.41,Thermostat,Yes,3,107.55,Low,2.37
1523,Fossil,8.3,Lighting,Yes,1,96.46,High,5.67
1524,Solar,12.23,None,No,4,113.27,Medium,4.79
1525,Fossil,11.23,Thermostat,Yes,6,96.54,Medium,1.52
1526,Hydro,15.29,Thermostat,Yes,1,102.2,Medium,7.76
1527,Nuclear,8.87,Assistant,Yes,6,91.73,High,9.51
1528,Hydro,3.32,Thermostat,Yes,4,94.15,None,5.67
